Loading TPC-C
TPC-C loaded - consumed space in GiB = 19.6637
Warehouse pages = 8
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 68  | 189706     | 97.5198- | 3.339940 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 37.9     | 2        |
| 69  | 219551     | 97.4538- | 3.322809 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 38.2     | 3        |
| 70  | 244338     | 97.4596- | 3.327807 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 38.5     | 2        |
| 71  | 249603     | 97.4395- | 3.262150 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 38.7     | 3        |
| 72  | 187671     | 97.5824- | 3.355528 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 39.0     | 2        |
| 73  | 220628     | 97.5238- | 3.219750 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 39.2     | 3        |
| 74  | 245165     | 97.4168- | 3.362305 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 39.5     | 2        |
| 75  | 250916     | 97.4238- | 3.239664 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 39.8     | 3        |
| 76  | 185581     | 97.3828- | 3.280765 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 40.0     | 2        |
| 77  | 221396     | 97.4972- | 3.328967 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 40.3     | 3        |
| 78  | 245086     | 97.4355- | 3.261127 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 40.6     | 2        |
| 79  | 250280     | 97.3945- | 3.285017 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 40.9     | 3        |
| 80  | 185050     | 97.5082- | 3.266614 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 41.1     | 2        |
| 81  | 220472     | 97.4001- | 3.262296 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 41.3     | 3        |
| 82  | 243652     | 97.5809- | 3.286217 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 41.7     | 2        |
| 83  | 252060     | 97.4275- | 3.247723 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 41.9     | 3        |
| 84  | 185257     | 97.4046- | 3.201923 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 42.2     | 2        |
| 85  | 221101     | 97.4441- | 3.228757 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 42.4     | 3        |
| 86  | 246197     | 97.3334- | 3.307687 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 42.7     | 2        |
| 87  | 250764     | 97.5447- | 3.221773 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 43.0     | 3        |
| 88  | 183739     | 97.4899- | 3.261150 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 43.2     | 2        |
| 89  | 221637     | 97.3961- | 3.362140 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 43.5     | 3        |
| 90  | 244721     | 97.3766- | 3.345682 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 43.8     | 2        |
| 91  | 252133     | 97.4664- | 3.299135 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 44.0     | 3        |
| 92  | 184137     | 97.3421- | 3.316811 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 44.3     | 2        |
| 93  | 220356     | 97.5249- | 3.238045 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 44.5     | 3        |
| 94  | 246229     | 97.4763- | 3.340295 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 44.8     | 2        |
| 95  | 252231     | 97.4503- | 3.371617 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 45.1     | 3        |
| 96  | 182741     | 97.4614- | 3.312663 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 45.3     | 2        |
| 97  | 220739     | 97.4848- | 3.321610 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 45.6     | 3        |
| 98  | 245623     | 97.4867- | 3.289274 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 45.9     | 2        |
| 99  | 251788     | 97.3815- | 3.318358 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 46.2     | 3        |
| 100 | 183049     | 97.3722- | 3.205525 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 46.4     | 2        |
| 101 | 221002     | 97.5348- | 3.304675 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 46.6     | 3        |
| 102 | 247952     | 97.4232- | 3.338206 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 47.0     | 2        |
| 103 | 250893     | 97.4379- | 3.260844 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 47.2     | 3        |
| 104 | 182576     | 97.3775- | 3.295586 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 47.5     | 2        |
| 105 | 221167     | 97.5009- | 3.308632 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.5      | 47.7     | 3        |
| 106 | 246752     | 97.4131- | 3.258031 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 48.0     | 2        |
| 107 | 250759     | 97.4381- | 3.286409 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 48.3     | 3        |
| 108 | 182000     | 97.6241- | 3.311322 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 48.5     | 2        |
| 109 | 220295     | 97.4325- | 3.218083 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.5      | 48.8     | 3        |
| 110 | 249276     | 97.4273- | 3.262536 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 49.1     | 2        |
| 111 | 251985     | 97.4938- | 3.266857 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 49.4     | 3        |
| 112 | 181047     | 97.3857- | 3.302872 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 49.6     | 2        |
| 113 | 218818     | 97.5262- | 3.324600 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.5      | 49.8     | 3        |
| 114 | 249082     | 97.4410- | 3.242823 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 50.2     | 2        |
| 115 | 251283     | 97.4184- | 3.288342 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 50.4     | 3        |
652931,653847,655002,652232,654196,652324,651599,652266,652928,654131,653145,655815,653079,653686,652469,655790,652970,653303,651150,653618,654355,655529,649946,654668,652857,653790,653065,653734,653063,652653,649750,653588,652820,652865,653082,652699,652515,652838,654175,652799,
TPC-C = 26127272
CH = 0

consumed space in GiB = 50.1228
